# == pyFAI calibration ==
# Distance Sample to Detector: 0.400151958433 m
# PONI: 1.472e-01, 1.496e-01 m
# Rotations: -0.001085 0.000539 -0.000000 rad
# 
# == Fit2d calibration ==
# Distance Sample-beamCenter: 400.152 mm
# Center: x=1500.210, y=1474.586 pix
# Tilt: 0.069 deg  TiltPlanRot: 26.426 deg
# 
# Detector Detector	 Spline= None	 PixelSize= 1.000e-04, 1.000e-04 m
#    Detector has a mask: False 
#    Detector has a dark current: False 
#    detector has a flat field: False 
# 
# Wavelength: 4.12969e-11 m
# Mask applied: None
# Dark current applied: None
# Flat field applied: None
# Polarization factor: None
# Normalization factor: None
#
# 2th_deg	 I
6.000256231E+00  -1.814369299E-02
6.006831854E+00  8.029392362E-02
6.013407478E+00  -7.619411498E-02
6.019983101E+00  -1.322913617E-01
6.026558724E+00  3.091487885E-01
6.033134347E+00  -2.171494812E-01
6.039709971E+00  -6.612533703E-03
6.046285594E+00  1.129655391E-01
6.052861217E+00  2.839184403E-01
6.059436840E+00  -5.931950212E-01
6.066012464E+00  1.167845950E-01
6.072588087E+00  2.236139029E-01
6.079163710E+00  -5.488144606E-02
6.085739334E+00  6.713771820E-02
6.092314957E+00  1.390051991E-01
6.098890580E+00  2.303549200E-01
6.105466203E+00  2.594118416E-01
6.112041827E+00  -4.337674081E-01
6.118617450E+00  -6.705373526E-01
6.125193073E+00  -2.774603665E-01
6.131768696E+00  1.804236412E+00
6.138344320E+00  2.021011829E+00
6.144919943E+00  2.332343578E+00
6.151495566E+00  2.383514404E+00
6.158071190E+00  2.626242876E+00
6.164646813E+00  2.591979265E+00
6.171222436E+00  3.376319408E+00
6.177798059E+00  4.166895866E+00
6.184373683E+00  4.035568714E+00
6.190949306E+00  3.621598482E+00
6.197524929E+00  2.420458317E+00
6.204100552E+00  1.635723591E+00
6.210676176E+00  -1.137354150E-01
6.217251799E+00  4.570235610E-01
6.223827422E+00  3.007520199E+00
6.230403045E+00  5.544579506E+00
6.236978669E+00  6.678176880E+00
6.243554292E+00  6.954668999E+00
6.250129915E+00  6.846335411E+00
6.256705539E+00  6.414603233E+00
6.263281162E+00  5.367191315E+00
6.269856785E+00  4.406147003E+00
6.276432408E+00  5.116276741E+00
6.283008032E+00  6.640528679E+00
6.289583655E+00  6.469207764E+00
6.296159278E+00  5.662571907E+00
6.302734901E+00  5.665723324E+00
6.309310525E+00  4.335396767E+00
6.315886148E+00  4.191085815E+00
6.322461771E+00  3.435173035E+00
6.329037394E+00  4.981801033E+00
6.335613018E+00  4.799915791E+00
6.342188641E+00  5.276285648E+00
6.348764264E+00  5.859497547E+00
6.355339888E+00  7.374343872E+00
6.361915511E+00  8.690684319E+00
6.368491134E+00  9.154762268E+00
6.375066757E+00  9.115490913E+00
6.381642381E+00  8.268625259E+00
6.388218004E+00  8.399386406E+00
6.394793627E+00  8.243022919E+00
6.401369250E+00  9.566581726E+00
6.407944874E+00  9.416470528E+00
6.414520497E+00  9.880922318E+00
6.421096120E+00  1.004754353E+01
6.427671743E+00  1.027068806E+01
6.434247367E+00  1.059409904E+01
6.440822990E+00  9.216530800E+00
6.447398613E+00  8.446129799E+00
6.453974237E+00  8.965119362E+00
6.460549860E+00  9.258532524E+00
6.467125483E+00  9.008764267E+00
6.473701106E+00  7.804806232E+00
6.480276730E+00  8.430823326E+00
6.486852353E+00  9.195249557E+00
6.493427976E+00  9.707625389E+00
6.500003599E+00  9.820237160E+00
6.506579223E+00  9.811682701E+00
6.513154846E+00  1.031287956E+01
6.519730469E+00  1.175625896E+01
6.526306092E+00  1.229713345E+01
6.532881716E+00  1.132417774E+01
6.539457339E+00  9.878359795E+00
6.546032962E+00  9.187110901E+00
6.552608586E+00  8.752456665E+00
6.559184209E+00  8.197937965E+00
6.565759832E+00  7.561101437E+00
6.572335455E+00  7.509318352E+00
6.578911079E+00  8.374469757E+00
6.585486702E+00  8.355590820E+00
6.592062325E+00  8.867031097E+00
6.598637948E+00  8.996961594E+00
6.605213572E+00  9.300846100E+00
6.611789195E+00  9.964781761E+00
6.618364818E+00  1.065878105E+01
6.624940441E+00  1.140591908E+01
6.631516065E+00  1.054937840E+01
6.638091688E+00  1.078907681E+01
6.644667311E+00  9.667256355E+00
6.651242935E+00  8.836308479E+00
6.657818558E+00  8.195242882E+00
6.664394181E+00  9.486356735E+00
6.670969804E+00  9.186104774E+00
6.677545428E+00  9.234818459E+00
6.684121051E+00  9.082603455E+00
6.690696674E+00  8.302361488E+00
6.697272297E+00  8.511421204E+00
6.703847921E+00  8.523867607E+00
6.710423544E+00  8.188190460E+00
6.716999167E+00  8.553288460E+00
6.723574790E+00  9.124088287E+00
6.730150414E+00  9.150845528E+00
6.736726037E+00  8.661619186E+00
6.743301660E+00  8.627556801E+00
6.749877284E+00  9.204104424E+00
6.756452907E+00  9.692687035E+00
6.763028530E+00  1.008318996E+01
6.769604153E+00  1.271143532E+01
6.776179777E+00  1.277701187E+01
6.782755400E+00  1.302052593E+01
6.789331023E+00  1.357980633E+01
6.795906646E+00  1.363444233E+01
6.802482270E+00  1.348415661E+01
6.809057893E+00  1.356296921E+01
6.815633516E+00  1.292528057E+01
6.822209139E+00  1.219851303E+01
6.828784763E+00  1.075010109E+01
6.835360386E+00  1.041405487E+01
6.841936009E+00  1.039915752E+01
6.848511633E+00  1.151089287E+01
6.855087256E+00  1.241974640E+01
6.861662879E+00  1.271955395E+01
6.868238502E+00  1.268702030E+01
6.874814126E+00  1.169821739E+01
6.881389749E+00  1.108478069E+01
6.887965372E+00  1.124157333E+01
6.894540995E+00  1.124045086E+01
6.901116619E+00  1.030974960E+01
6.907692242E+00  9.001766205E+00
6.914267865E+00  7.980597973E+00
6.920843488E+00  7.814376354E+00
6.927419112E+00  6.706957340E+00
6.933994735E+00  6.984980583E+00
6.940570358E+00  6.829563618E+00
6.947145982E+00  6.333672523E+00
6.953721605E+00  4.887135983E+00
6.960297228E+00  5.191052914E+00
